,Course,Year,Hrs Per Week,Interest in student learning,Instructor provides feedback to students to improve,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
101,02-711,2013,,5.0,4.67,5.0,4.89,5.0,4.44
102,02-711,2014,10.1,5.0,4.91,4.91,4.82,4.73,4.55
103,02-711,2015,10.55,5.0,4.73,4.73,4.73,4.64,4.55
104,02-711,2016,10.67,5.0,5.0,4.83,5.0,4.83,4.5
105,02-711,2017,8.0,5.0,5.0,5.0,5.0,5.0,5.0
106,02-712,2010,,3.8,4.2,4.2,5.0,3.8,4.2
107,02-712,2011,,4.5,3.5,4.0,5.0,4.0,4.0
108,02-712,2012,,4.86,4.86,5.0,4.86,4.71,4.86
109,02-712,2013,,4.22,4.0,4.44,4.78,4.67,4.44
110,02-712,2014,14.45,4.27,4.09,4.0,4.73,4.18,4.27
111,02-712,2015,15.89,4.78,4.67,4.89,4.89,4.78,4.78
112,02-712,2016,11.67,4.17,4.0,3.83,4.42,4.17,4.0
113,02-712,2017,13.92,4.08,3.83,4.17,4.75,3.92,3.75
114,02-712,2018,24.0,4.0,3.0,3.0,4.0,3.0,4.0
115,02-713,2013,,4.12,4.19,4.3,4.44,4.19,4.3
116,02-713,2014,,4.1,3.8,4.24,4.42,4.08,4.12
117,02-715,2011,,5.0,4.5,5.0,5.0,5.0,5.0
118,02-715,2013,,4.67,4.33,5.0,5.0,5.0,5.0
119,02-715,2018,8.75,4.75,3.75,4.5,4.75,4.25,4.5
120,02-715,2019,10.33,4.67,4.56,4.56,4.78,4.78,5.0
121,02-716,2011,,4.75,5.0,4.5,4.5,4.75,4.5
122,02-717,2013,,3.83,3.83,3.67,4.0,3.67,4.0
123,02-717,2016,6.5,5.0,4.0,4.5,4.5,4.5,4.0
124,02-718,2016,11.13,4.545,4.279999999999999,4.135,4.68,4.465,4.404999999999999
125,02-718,2017,11.0,5.0,3.0,4.0,5.0,4.0,4.0
126,02-718,2018,9.71,4.86,5.0,5.0,5.0,5.0,5.0
127,02-719,2017,8.0,5.0,5.0,5.0,5.0,4.0,4.0
128,02-719,2018,6.5,5.0,5.0,5.0,5.0,5.0,5.0
129,02-721,2014,,4.75,4.75,4.75,4.75,4.75,4.75
130,02-722,2012,,4.5,4.5,4.0,5.0,4.5,4.0
131,02-725,2018,6.5,4.0,4.0,4.5,4.5,4.5,4.0
132,02-730,2009,,,,,,3.5,2.0
133,02-730,2010,,4.0,2.0,4.0,5.0,3.5,2.0
134,02-730,2011,,4.67,4.67,4.5,4.67,4.5,4.2
135,02-730,2012,,4.15,4.23,4.08,4.54,4.23,3.69
136,02-730,2013,,4.67,4.0,4.33,4.83,4.0,3.33
137,02-730,2014,17.4,4.2,4.0,4.0,4.6,4.2,4.0
138,02-730,2015,13.315000000000001,4.365,4.1850000000000005,5.0,4.9,4.365,4.1850000000000005
139,02-730,2016,13.17,3.83,3.33,4.33,4.67,4.0,3.83
140,02-740,2012,,4.5,4.0,4.5,5.0,4.5,4.5
141,02-740,2013,,4.0,4.0,4.5,5.0,4.5,4.0
142,02-740,2014,,4.86,4.86,4.86,5.0,4.71,4.71
143,02-740,2015,12.78,4.5,3.89,4.11,4.56,4.11,3.67
144,02-740,2016,11.0,5.0,3.0,4.0,5.0,4.0,4.0
145,02-740,2017,7.0,4.33,3.67,5.0,4.67,3.67,4.0
146,02-750,2010,,4.0,2.67,4.33,4.67,3.67,3.67
147,02-750,2011,,5.0,5.0,4.67,5.0,4.67,5.0
148,02-750,2012,,5.0,5.0,5.0,5.0,5.0,5.0
149,02-750,2013,,3.88,3.565,3.88,3.875,3.69,3.815
150,02-750,2014,11.434999999999999,4.32,4.245,4.12,4.29,4.245,4.220000000000001
151,02-750,2015,13.82,4.5,4.57,4.64,4.61,4.39,4.43
152,02-750,2016,11.29,4.02,3.77,4.14,4.05,3.93,3.77
153,02-750,2017,10.46,3.12,2.54,3.19,3.42,3.19,2.92
154,02-750,2018,10.38,3.92,3.92,4.15,3.85,4.0,4.0
155,02-750,2019,10.17,3.11,3.17,3.39,3.67,3.0,3.0
156,02-760,2009,,,,,,4.0,4.0
157,02-760,2011,,4.5,4.5,4.5,4.5,4.5,3.75
158,02-760,2012,,4.085,3.915,3.915,4.165,4.335,3.335
159,02-760,2013,,4.4,4.1,4.300000000000001,4.699999999999999,4.2,4.1
160,02-760,2014,,5.0,4.0,4.0,5.0,4.0,3.0
161,02-760,2015,9.5,5.0,4.5,4.25,4.75,4.5,3.5
162,02-760,2016,9.4,4.5,4.17,4.25,4.58,4.0,3.5
163,02-760,2017,6.0,5.0,5.0,5.0,5.0,5.0,4.67
164,02-760,2018,6.5,4.25,4.0,4.0,4.5,4.0,3.875
165,02-760,2019,6.2,4.4,4.4,4.4,4.8,4.4,4.4
166,03--232,2014,,3.0,3.0,3.0,4.0,3.0,3.0
167,03-101,2009,,,,,,3.25,3.25
168,03-101,2010,,4.425,3.425,4.425,4.3,3.975,4.325
169,03-101,2011,,4.875,4.29,4.71,4.835,4.71,4.71
170,03-101,2012,,4.0,2.6,4.6,4.6,4.0,4.2
171,03-101,2013,,4.835,4.54,4.79,5.0,4.915,4.915
172,03-101,2014,6.75,4.67,4.56,4.33,4.78,4.6,4.5
173,03-101,2015,4.0,5.0,4.33,5.0,5.0,4.67,5.0
174,03-101,2016,4.25,4.5,3.5,3.67,4.75,4.0,4.25
175,03-101,2017,3.5,4.75,4.6,4.25,4.75,4.5,4.5
176,03-101,2018,5.0,4.1,3.2,3.6,4.4,3.7,4.2
177,03-115,2010,,4.93,4.895,4.965,4.93,4.895,4.895
178,03-115,2011,,4.79,4.545,4.545,4.92,4.5,4.75
179,03-115,2012,,4.835,4.625,4.625,4.835,4.58,4.875
180,03-115,2013,,4.9350000000000005,4.825,4.8149999999999995,4.885,4.734999999999999,5.0
181,03-115,2014,5.56,4.81,4.69,4.75,4.88,4.75,4.75
182,03-115,2015,4.57,5.0,5.0,4.79,4.93,4.93,5.0
183,03-115,2016,5.0,4.88,4.94,4.75,4.94,4.63,5.0
184,03-115,2017,6.0,4.75,4.265000000000001,4.52,4.695,4.49,4.635
185,03-115,2018,5.0,4.0,5.0,5.0,4.5,4.5,4.5
186,03-116,2009,,,,,,4.859999999999999,4.86
187,03-116,2010,,4.66,4.279999999999999,4.545,4.62,4.505000000000001,4.545
188,03-116,2011,,4.955,4.865,5.0,5.0,5.0,5.0
189,03-116,2012,,4.68,4.455,4.615,4.84,4.52,4.55
190,03-116,2013,,4.375,4.29,4.165,4.5,4.29,4.125
191,03-116,2014,,4.77,4.425000000000001,4.845,4.77,4.615,4.76
192,03-116,2015,5.0,4.4,4.0,4.33,4.73,4.0,4.33
193,03-116,2016,5.43,4.33,4.14,4.43,4.57,4.0,4.29
194,03-116,2017,5.47,4.79,4.42,4.74,4.89,4.58,4.84
195,03-116,2018,5.2,4.53,4.4,4.33,4.33,4.33,4.73
196,03-117,2018,5.995,4.244999999999999,4.05,4.46,4.21,4.16,4.05
197,03-117,2019,5.135,4.645,4.32,4.385,4.725,4.615,4.795
198,03-121,2009,,,,,,3.0549999999999997,3.05
199,03-121,2010,,4.055,3.4450000000000003,4.0,4.645,3.935,3.975
200,03-121,2011,,4.5,3.78,4.3,4.43,4.13,4.17
201,03-121,2012,,4.28,3.92,4.0,4.5,4.06,4.0
202,03-121,2013,,4.48,3.86,4.14,4.57,4.01,4.1
203,03-121,2014,7.22,4.39,3.98,4.24,4.35,4.1,3.66
204,03-121,2015,7.56,3.985,3.65,3.58,4.375,3.59,3.59
205,03-121,2016,7.695,4.32,3.9450000000000003,4.195,4.6,4.115,3.81
206,03-121,2017,7.69,4.38,4.23,4.38,4.67,4.15,3.96
207,03-121,2018,7.574999999999999,4.64,4.3149999999999995,4.225,4.7,4.455,4.3149999999999995
208,03-121,2019,7.195,4.404999999999999,4.05,3.975,4.68,3.83,3.825
209,03-122,2010,,3.875,3.5549999999999997,3.835,4.05,4.0,3.89
210,03-124,2009,,,,,,2.89,2.8
211,03-124,2010,,4.63,4.63,4.38,4.75,4.5,4.63
212,03-124,2011,,4.75,4.585,4.665,4.415,4.45,4.45
213,03-124,2012,,4.635,4.25,4.445,4.835,4.390000000000001,3.9450000000000003
214,03-124,2013,,5.0,4.915,5.0,5.0,5.0,4.915
215,03-124,2014,8.0,4.845000000000001,4.73,4.73,4.3100000000000005,4.77,4.654999999999999
216,03-124,2015,7.57,4.57,4.57,4.6,4.57,4.6,4.5
217,03-124,2016,8.094999999999999,4.904999999999999,4.66,5.0,4.904999999999999,4.725,4.904999999999999
218,03-124,2017,10.335,4.9350000000000005,4.53,4.9,4.965,4.890000000000001,4.635
219,03-124,2018,9.13,4.8,4.63,4.7,4.88,4.75,4.63
220,03-124,2019,9.625,4.375,3.415,3.875,4.415,3.665,3.96
221,03-125,2012,,4.64,4.36,4.45,4.73,4.45,4.27
222,03-125,2014,5.75,4.5,4.0,4.0,4.5,4.0,4.0
223,03-125,2015,4.71,4.57,4.14,4.65,4.81,4.38,4.24
224,03-125,2016,6.0,4.42,4.17,4.5,4.75,4.25,4.0
225,03-125,2017,4.18,4.4399999999999995,3.235,4.105,4.32,3.57,3.2
226,03-125,2018,6.715,4.67,4.605,4.65,4.775,4.545,4.51
227,03-126,2010,,4.88,4.88,4.25,4.88,4.5,4.5
228,03-126,2011,,4.585,4.42,4.5,4.585,4.585,4.5
229,03-126,2012,,4.86,4.43,4.5,4.71,4.75,4.5
230,03-127,2011,,4.8,4.6,4.4,5.0,4.8,4.4
231,03-127,2012,,5.0,4.82,4.82,5.0,4.91,4.73
232,03-127,2013,,5.0,4.78,4.67,5.0,5.0,4.78
233,03-127,2015,6.29,5.0,5.0,4.86,5.0,4.71,4.14
234,03-127,2016,5.0,5.0,5.0,5.0,5.0,5.0,5.0
235,03-131,2013,,5.0,4.62,4.92,5.0,5.0,4.85
236,03-131,2015,8.24,4.88,4.65,4.69,4.88,4.82,4.53
237,03-131,2017,9.5,4.67,4.67,4.83,4.83,4.5,4.5
238,03-132,2014,7.13,4.75,4.0,4.0,4.69,4.31,4.06
239,03-132,2015,5.5,4.445,3.545,4.19,4.595000000000001,4.125,3.9
240,03-132,2016,9.8,4.4350000000000005,3.4050000000000002,4.265000000000001,4.43,4.115,4.01
241,03-132,2018,7.135,4.3100000000000005,3.8200000000000003,4.255000000000001,4.42,4.09,4.3
242,03-132,2019,13.0,4.375,4.625,4.5,4.625,4.625,4.5
243,03-133,2017,14.43,4.93,4.75,4.5,4.93,4.75,4.5
244,03-133,2018,13.135,5.0,4.775,4.545,5.0,4.91,4.775
245,03-133,2019,15.33,5.0,4.8,5.0,5.0,5.0,5.0
246,03-151,2014,10.120000000000001,4.57,4.12,4.33,4.895,4.48,4.305
247,03-151,2015,9.34,4.865,4.5,4.835,4.890000000000001,4.82,4.66
248,03-151,2016,8.8,4.87,4.27,4.6,4.93,4.4,4.47
249,03-151,2017,9.305,4.04,3.885,3.6550000000000002,4.484999999999999,3.675,3.73
250,03-151,2018,9.88,4.63,4.13,4.57,4.88,4.57,4.46
251,03-161,2015,7.0,4.59,4.07,4.07,4.55,4.07,4.1
252,03-161,2016,11.0,4.83,4.56,4.7,5.0,4.62,4.45
253,03-161,2017,6.83,4.91,4.81,4.75,4.98,4.81,4.74
254,03-161,2019,8.33,4.29,3.71,4.05,4.33,3.86,3.67
255,03-201,2011,,4.715,4.705,4.640000000000001,4.95,4.88,4.425
256,03-201,2012,,4.8149999999999995,4.73,4.77,4.915,4.8149999999999995,4.665
257,03-201,2013,,4.53,4.3,4.43,4.67,4.5,4.4
258,03-201,2014,2.1,4.65,4.485,4.6,4.6,4.55,4.6
259,03-201,2015,2.0,4.32,4.0,4.28,4.52,4.2,3.96
260,03-201,2016,2.23,4.77,4.31,4.61,4.77,4.69,4.46
261,03-201,2017,2.0,4.425000000000001,4.26,4.335,4.73,4.449999999999999,3.7800000000000002
262,03-201,2018,2.255,4.21,3.975,3.975,4.654999999999999,4.27,3.6950000000000003
263,03-202,2010,,4.38,4.25,4.57,4.86,4.71,4.71
264,03-202,2014,2.3,4.6,4.3,4.5,4.8,4.6,4.5
265,03-202,2015,2.0,4.83,4.83,4.83,4.83,4.83,4.33
266,03-202,2016,2.0,5.0,4.8,5.0,5.0,5.0,5.0
267,03-202,2017,2.0,4.9,4.8,4.9,5.0,4.8,4.6
268,03-202,2018,5.0,3.0,4.5,4.0,5.0,4.5,3.5
269,03-202,2019,2.75,4.0,3.75,4.5,4.5,4.25,4.0
270,03-203,2009,,,,,,3.67,3.33
271,03-203,2010,,4.44,4.22,4.38,4.11,4.25,4.0
272,03-203,2011,,4.11,3.89,4.0,4.22,4.0,3.67
273,03-203,2012,,4.0,3.33,3.0,3.33,3.33,3.0
274,03-206,2009,,,,,,4.67,5.0
275,03-206,2010,,4.83,4.835,4.755,4.93,4.605,4.765000000000001
276,03-206,2011,,5.0,4.875,4.75,5.0,5.0,4.875
277,03-206,2012,,5.0,4.46,4.79,4.875,4.75,4.5
278,03-206,2013,,5.0,5.0,4.835,5.0,4.945,4.845
279,03-206,2014,10.1,4.85,4.5,4.715,5.0,4.8,4.945
280,03-206,2015,8.375,4.9399999999999995,4.65,4.875,5.0,5.0,4.805
281,03-206,2016,10.0,4.71,4.43,4.67,5.0,4.67,4.0
282,03-206,2017,8.92,4.955,4.68,4.76,4.895,4.83,4.8149999999999995
283,03-206,2018,8.0,4.875,4.125,4.835,5.0,4.875,4.75
284,03-206,2019,2.0,4.0,2.0,4.0,5.0,3.0,2.0
285,03-210,2013,,5.0,5.0,5.0,5.0,5.0,5.0
286,03-210,2015,18.8,4.4,4.4,4.75,4.75,4.75,4.75
287,03-220,2016,9.21,4.23,3.83,3.76,4.4,3.755,3.645
288,03-220,2017,7.475,4.26,3.96,3.83,4.545,3.8449999999999998,3.825
289,03-220,2018,7.625,4.505000000000001,4.055,4.095000000000001,4.74,4.175,4.07
290,03-221,2018,8.0,5.0,5.0,5.0,5.0,5.0,5.0
291,03-221,2019,8.0,5.0,5.0,5.0,5.0,5.0,5.0
292,03-230,2009,,,,,,3.82,3.94
293,03-230,2012,,5.0,4.75,5.0,5.0,5.0,5.0
294,03-230,2013,,4.85,4.225,4.74,4.955,4.805,4.734999999999999
295,03-230,2014,,4.54,4.15,4.69,4.92,4.85,4.67
296,03-230,2016,9.57,4.57,4.07,4.43,4.79,4.43,4.29
297,03-230,2018,8.0,4.4,4.6,4.4,4.8,4.4,4.0
298,03-230,2019,15.75,5.0,4.5,4.5,5.0,4.75,4.5
299,03-231,2010,,4.265,3.885,4.37,4.57,4.22,4.045
300,03-231,2011,,4.4399999999999995,4.085,4.375,4.640000000000001,4.29,4.225
301,03-231,2012,,4.145,3.5949999999999998,4.03,4.4,4.02,4.16
302,03-231,2013,,3.9450000000000003,3.5300000000000002,3.72,4.21,3.585,3.475
303,03-231,2014,9.120000000000001,4.1450000000000005,3.5949999999999998,3.58,4.4399999999999995,3.605,3.525
304,03-231,2015,8.6,3.9,3.6,3.8000000000000003,4.1,3.4000000000000004,3.0
305,03-231,2017,8.690000000000001,4.125,3.63,3.79,4.52,3.665,3.625
306,03-231,2018,9.77,3.71,3.375,3.34,4.135,3.245,2.9000000000000004
307,03-231,2019,9.67,3.5999999999999996,3.21,3.2800000000000002,3.94,3.235,3.115
308,03-232,2009,,,,,,4.86,4.67
309,03-232,2010,,4.83,4.62,4.87,4.87,4.87,4.71
310,03-232,2011,,4.74,4.41,4.74,4.85,4.72,4.62
311,03-232,2012,,4.85,4.68,4.81,4.9,4.84,4.7
312,03-232,2013,,4.96,4.475,4.67,4.96,4.85,4.62
313,03-232,2014,8.25,4.74,4.795,4.865,4.93,4.825,4.79
314,03-232,2015,9.49,4.885,4.734999999999999,4.79,4.875,4.725,4.695
315,03-232,2016,8.88,4.73,4.47,4.76,4.78,4.67,4.31
316,03-232,2017,8.36,4.9399999999999995,4.630000000000001,4.890000000000001,4.98,4.855,4.57
317,03-232,2018,9.739999999999998,4.8100000000000005,4.205,4.63,4.82,4.48,4.375
318,03-232,2019,9.18,4.57,4.11,4.36,4.82,4.36,4.21
319,03-240,2009,,,,,,3.04,2.915
320,03-240,2010,,3.975,3.6950000000000003,3.74,4.115,3.5949999999999998,3.635
321,03-240,2011,,4.745,4.5,4.775,4.805,4.725,4.695
322,03-240,2012,,3.92,3.42,3.4850000000000003,4.484999999999999,3.375,3.55
323,03-240,2013,,3.93,3.56,4.19,4.44,3.93,3.96
324,03-240,2014,,4.055,3.3200000000000003,3.915,4.33,3.6850000000000005,3.4299999999999997
325,03-240,2015,8.81,4.31,4.08,4.43,4.57,4.26,4.3
326,03-240,2016,8.385,4.46,3.875,4.425,4.575,4.25,4.25
327,03-240,2017,11.36,5.0,4.36,4.82,4.91,4.64,4.64
328,03-240,2018,10.0,4.5,4.17,4.33,3.67,4.67,4.33
329,03-240,2019,12.43,4.86,4.14,4.86,4.86,4.71,4.43
330,03-250,2012,,3.9450000000000003,3.4699999999999998,3.835,4.56,3.75,3.415
331,03-250,2013,,3.61,3.11,3.46,4.36,3.46,3.04
332,03-250,2014,,3.71,3.29,3.29,4.36,3.36,3.29
333,03-250,2015,7.84,3.89,3.58,3.74,4.11,3.79,3.53
334,03-250,2016,6.93,4.390000000000001,4.045,4.22,4.555,4.17,4.04
335,03-250,2017,12.475,4.11,3.71,3.79,4.605,3.71,3.26
336,03-250,2018,11.635,4.045,3.0599999999999996,3.41,4.455,3.365,2.6849999999999996
337,03-251,2012,,4.33,3.67,5.0,5.0,4.33,4.0
338,03-251,2013,,4.0,3.5,3.5,4.0,3.0,3.0
339,03-251,2014,,3.0,2.0,2.0,3.0,2.0,2.0
340,03-251,2015,3.5,4.25,3.5,5.0,5.0,4.25,3.25
341,03-252,2012,,3.0,3.0,3.33,3.33,3.0,2.83
342,03-252,2013,,4.0,4.0,5.0,4.5,3.5,4.0
343,03-252,2014,,4.0,3.2,3.8,4.2,3.6,3.6
344,03-252,2017,11.0,3.0,2.0,3.0,3.0,3.0,3.0
345,03-260,2014,6.8,4.835,4.67,4.76,4.91,4.83,4.8
346,03-260,2015,7.6,4.93,4.71,4.87,4.94,4.87,4.87
347,03-260,2016,7.64,4.97,4.82,4.94,4.97,4.94,4.91
348,03-270,2016,23.2,4.6,4.2,4.6,4.56,4.6,3.8
349,03-301,2014,2.0,4.6899999999999995,4.4399999999999995,4.63,4.63,4.63,4.5
350,03-301,2015,2.0,4.625,4.5,4.625,4.5,4.625,4.375
351,03-301,2016,2.0,5.0,5.0,5.0,5.0,5.0,5.0
352,03-301,2017,2.0,4.25,3.5,3.75,4.25,4.0,3.75
353,03-301,2018,2.0,3.67,3.0,3.67,4.33,4.0,3.0
354,03-310,2010,,4.275,3.995,4.05,4.66,4.045,4.09
355,03-310,2011,,4.04,3.73,4.04,4.345,3.925,3.885
356,03-311,2009,,,,,,4.0,4.0
357,03-311,2010,,3.5,3.5,5.0,5.0,4.0,4.0
358,03-311,2011,,4.33,3.33,4.33,5.0,4.33,4.0
359,03-312,2010,,3.44,2.89,3.11,4.0,3.11,2.78
360,03-312,2011,,4.5,4.5,4.83,4.83,4.67,4.33
361,03-315,2009,,,,,,4.0,3.5
362,03-315,2011,,4.0,3.33,3.67,4.0,3.67,3.67
363,03-315,2012,,2.17,1.33,3.33,3.0,2.83,3.0
364,03-320,2016,8.93,4.55,4.03,4.45,4.71,4.33,4.29
365,03-320,2017,8.48,4.48,4.03,4.48,4.58,4.35,4.29
366,03-320,2018,10.36,4.44,3.78,4.42,4.56,4.36,4.28
367,03-325,2010,,3.92,3.77,3.77,4.46,3.69,3.54
368,03-326,2011,,5.0,4.2,4.6,4.8,4.6,4.8
369,03-326,2012,,5.0,5.0,5.0,5.0,5.0,5.0
370,03-326,2016,5.0,5.0,5.0,4.75,4.75,4.75,4.75
371,03-326,2017,5.0,4.5,4.0,4.5,5.0,4.0,3.5
372,03-327,2011,,4.25,3.5,3.63,4.5,3.88,3.38
373,03-327,2012,,3.0,4.0,4.0,4.0,3.0,4.0
374,03-327,2013,,5.0,5.0,4.67,5.0,5.0,5.0
375,03-327,2015,8.0,5.0,4.5,4.5,5.0,5.0,5.0
376,03-327,2017,6.5,5.0,5.0,5.0,5.0,5.0,5.0
