,desc,prereqs,coreqs,name,units,department,profs,School Level,Course
13,"A tutorial studio in which an Art student works individually on a self-generated project under the supervision of a School of Art faculty member.  Prior to enrolling in Independent Study, the student must complete an Independent Study Proposal form (available in the bins on the 3rd floor of CFA) which is signed by the faculty member and the Assistant Head of Academic Affairs of the School of Art. Prerequisite: Art Junior/Senior status and by instructor permission.",None,None,Studio Independent Study,,Art,"Bingham, Robert",Senior,60-499
14,"Art Internships are open to all BFA, BHA, BSA and BCSA Art students. Internships may take place with appropriate individuals or organizations within or outside of Carnegie Mellon University. The requirements for an internship are in the School of Art Handbook (available at the School of Art website). Prior to being enrolled for an internship, students must complete an Internship Proposal Form, which defines the goals of the internship. This form must be signed by their site supervisor and approved by the Assistant Head of the School of Art. Forms are available in the bins on the 3rd floor of CFA.  Junior and Senior Art majors only.",None,None,Internship,,Art,"Cato, Mark",Graduate,60-590
15,"The BXA Undergraduate Research Project is for students who want to work on a self-designed project with the one-to-one guidance of a faculty advisor. The project should be interdisciplinary in nature, and can be a scholarly and/or creative endeavor. The project may take the form of a written thesis, a compilation of creative works, an outreach project, etc. The project topic must be pre-approved by the faculty member who agrees to supervise the project and assign a letter grade for the course. Projects are to be completed in one semester, may be worth 3, 6, 9, or 12 units of academic credit, and cannot be taken concurrently with the BXA Capstone Project during the senior year. To register, students must submit an Undergraduate Research Project Proposal Form signed by both the student and the faculty advisor, along with a proposal, to their BXA academic advisor.",None,None,BXA Undergraduate Research Project,,BXA Intercollege Degree Programs,"Murray, M. Stephanie",Junior,52-390
16,"An internship is a supervised professional work experience with clear links to a students academic goals. BXA students may choose to complete a BXA Internship for elective credit with appropriate individuals or organizations within or outside of Carnegie Mellon University. Junior and senior BXA students in good academic standing are eligible to receive academic credit for one internship. Grading is pass/no pass only. Prior to enrolling in an internship, the student must have a BXA Internship Agreement Form signed by their site supervisor and approved by their BXA academic advisor.",None,None,BXA Internship,,BXA Intercollege Degree Programs,"Murray, M. Stephanie",Graduate,52-590
17,"This course will focus on the genetics, cell biology, and developmental biology behind human biology and human disease, as well as the growing opportunities for novel therapeutic options that basic science delivers.  This is a topics based course, with topics chosen to cover aspects of human biology and health that students are likely to encounter in their daily lives such as cancer, stem cells, genome sequencing, and the human microbiota. Students will explore these topics from both a basic science and a human health perspective.",None,None,Basic Science to Modern Medicine,9.0,Biological Sciences,"Mccartney, Brooke",Freshman,03-132
18,"Research projects for sophomores under the direction of a regular or adjunct BME faculty member.  Arrangements may also be made via the Associate Head of BME for off-campus projects provided that a regular or adjunct BME faculty member agrees to serve as a co-advisor.  The nature of the project, the number of units, and the criteria for grading are to be determined between the student and the research advisor.  The agreement should be summarized in a two-page project description with sign-off by the research advisor and a copy submitted for review and filing with the BME Department.  A final written report of the results is required.  Units may vary from 9 to 12 according to the expected time commitment, with one unit corresponding to 1 hour of research per week.  One (but not more than one) semester of research, if registered for at least 9 units, may be counted as a restricted elective course toward the BME additional major.",None,None,Sophomore BME Research Project,,Biomedical Engineering,"Zapanta, Conrad",Sophomore,42-200
19,"Students will read papers from the original literature under the direction of a faculty member. Students will be required to demonstrate mastery of the readings by discussions with the sponsoring faculty member, oral presentations, or writing of one or more papers summarizing and extending the information in the readings. If appropriate, students may write a program(s) to satisfy this last requirement. A student may take this course only once.  This is a mini format course.  Special permission required.",None,None,Independent Study,,Biological Sciences,"Campanaro, Becki",Sophomore,03-210
20,"Research projects for sophomores under the direction of a regular or adjunct BME faculty member.  Arrangements may also be made via the Associate Head of BME for off-campus projects provided that a regular or adjunct BME faculty member agrees to serve as a co-advisor.  The nature of the project, the number of units, and the criteria for grading are to be determined between the student and the research advisor.  The agreement should be summarized in a two-page project description with sign-off by the research advisor and a copy submitted for review and filing with the BME Department.  A final written report of the results is required.  Units may vary from 9 to 12 according to the expected time commitment, with one unit corresponding to 1 hour of research per week.  One (but not more than one) semester of research, if registered for at least 9 units, may be counted as a restricted elective course toward the BME additional major.",None,None,Junior BME Research Project,,Biomedical Engineering,"Zapanta, Conrad",Junior,42-300
21,Students may investigate research problems under the supervision of members of the faculty. Permission of a faculty advisor required.,None,None,Undergraduate Research,,Biological Sciences,"Campanaro, Becki",Senior,03-445
22,A student enrolled in this course conducts an independent investigation on a project in a faculty advisors lab. The project is selected from a major area of research study with the advice and approval of the faculty advisor. This course is required of students who are enrolled in the Master of Science program and wish to write and defend a thesis.,None,None,MS Thesis Research,,Biological Sciences,"Brasier, Daniel",Graduate,03-700
23,Doctoral Thesis Research consists of an independent investigation on a project selected from a major area of research study with the advice and approval of the faculty advisor.,None,None,Doctoral Thesis Research,,Biological Sciences,"Hinman, Veronica",Graduate,03-900
24,"Research projects for sophomores under the direction of a regular or adjunct BME faculty member.  Arrangements may also be made via the Associate Head of BME for off-campus projects provided that a regular or adjunct BME faculty member agrees to serve as a co-advisor.  The nature of the project, the number of units, and the criteria for grading are to be determined between the student and the research advisor.  The agreement should be summarized in a two-page project description with sign-off by the research advisor and a copy submitted for review and filing with the BME Department.  A final written report of the results is required.  Units may vary from 9 to 12 according to the expected time commitment, with one unit corresponding to 1 hour of research per week.  One (but not more than one) semester of research, if registered for at least 9 units, may be counted as a restricted elective course toward the BME additional major.",None,None,Senior BME Research Project,,Biomedical Engineering,"Zapanta, Conrad",Senior,42-400
25,This course is intended for directed study only with permission of the Associate Department Head.,None,None,Directed Study,,Biomedical Engineering,"Cook, Keith",Graduate,42-799
26,"Students will work with a faculty member, local biomedically-oriented company or local clinical researcher on a technical research, development or outreach project.  A faculty member affiliated with the Department of Biomedical Engineering will either serve as the advisor for an internal project or as a liaison for an external industrial/clinical project.  The project will culminate in an oral presentation and an internally-archived written report which documents the project and its results.  The presentation and report will be reviewed by the faculty advisor/liaison; this review will serve as the basis for the assignment of the course grade. Pre-requisite:  Graduate standing and consent of faculty advisor/liaison.  Variable units.",None,None,Practicum in Biomedical Engineering,12.0,Biomedical Engineering,"Trumble, Dennis",Graduate,42-790
27,None,None,None,M.S. Research Final Report,0.0,Biomedical Engineering,"Cook, Keith",Graduate,42-899
28,"This course may be taken by M.S. or Ph.D. students as part of the arrangement to work in an outside organization during the summer, for the purpose of gaining experience in the real-world practice of biomedical engineering. Students should register for Section A during the academic year and Section R during the summer. Pre-requisite:Graduate standing, require special arrangement through the advisor and approval of the department, and approval of the Office of International Education for foreign students. [Top]",None,None,Extramural Practicum,,Biomedical Engineering,"Cook, Keith",Graduate,42-792
29,MS Research,None,None,M.S. Research,,Biomedical Engineering,"Cook, Keith",Graduate,42-890
30,This course is designed to give students enrolled in the Ph.D. program an opportunity to conduct extensive research over the course of their studies culminating in a Ph.D. thesis.  Variable units.,None,None,Ph.D. Thesis Research,,Biomedical Engineering,"Cook, Keith",Graduate,42-990
31,"42-997  PhD Qualifying Examination  Fall and Spring    A qualifying examination is given to determine the students general knowledge of the fields of engineering appropriate to the individuals program, and to assess the students ability to use this knowledge in the solution of problems and in the execution of original research. The examination comprises written and/or oral parts. The student will be considered to have passed the qualifying examination when he or she has successfully completed all of the required parts. A candidate must take the qualifying examination at the time specified by the department, generally within the first three semesters of study. Upon satisfactorily passing the examination, the student will be accepted as a candidate for the degree of Doctor of Philosophy. If the student has not already received a Masters Degree, upon application and provided that all other requirements have been met, he or she may be granted the degree of Master of Science at the next commencement.    Passing the Ph.D. qualifying examination admits a student to candidacy for the Ph.D. degree for a period of no longer than six calendar years. If, at the end of this six-year period, the Ph.D. has not been awarded, the student must reapply for admission to the graduate program and will be judged competitively with other students applying at the same time. If the student is re-admitted, he or she may, at the discretion of the department, be requested to pass the qualifying examination again before the Ph.D. is awarded. A student may petition for extension of the six-year limit under extenuating circumstances such as a forced change of advisor, military service, or prolonged illness. Note that the time limits on the duration of Ph.D. candidacy outlined here are more restrictive than those of the general university policy.",None,None,Ph.D. Qualifying Examination,0.0,Biomedical Engineering,"Cook, Keith",Graduate,42-997
32,"This course allows a student to gain computational biology experience in a real-world setting. Internships vary widely in scope, but common to all is the chance to practice computational biology skills acquired in the classroom. Typically, students seek and secure their own internships.",None,None,Computational Biology Internship,,Biological Sciences,"Brasier, Daniel",Graduate,03-601
33,PhD Thesis Prospectus.,None,None,Ph.D. Proposal,0.0,Biomedical Engineering,"Cook, Keith",Graduate,42-998
34,"This class focuses on the statistical analysis of the relationship between two or more random variables. In particular, we examine the estimation of the conditional mean of the dependent variable as a function of independent variables using linear regression. We draw on statistical theory to determine the precision of our estimates and to conduct inference about the population, and we examine a number of applications to business, finance, and economics throughout the course.",(21-112 or 21-120) and (36-200 or 36-201 or 36-220 or 36-207 or 36-247 or 70-207) and (73-100 or 73-102),None,Regression Analysis,9.0,Business Administration,"Yang, I Ta",Sophomore,70-208
35,Biomedical Engineering PhD Thesis Defense Examination,None,None,Ph.D Thesis Defense,0.0,Biomedical Engineering,"Cook, Keith",Graduate,42-999
36,"This course provides a mathematical foundation for the application of optimization techniques to business problems, as well as the practical implementation of these methods. Mathematical optimization techniques have been applied for decades in the context of logistics, supply chain management, and strategic planning, with great success. In recent years, the application of mathematical optimization has penetrated, and in some cases (re-)defined, many other areas such as the (financial) service industry, analytical marketing, health care, and web-based businesses. In this course, the most important methods and techniques underlying mathematical optimization are studied. These include linear programming, integer programming, and nonlinear programming as basic mathematical methodologies. Based on these, we also consider methodologies for particular problem classes such as network models and traveling salesman problems. During the course we will emphasize mathematical modeling, that is, creating a mathematical description that reflects a given practical problem described in words. Motivated by these mathematical models, we then discuss the necessary mathematical techniques for finding optimal solutions. Lastly, we consider the solution of these problems using optimization software, i.e., we represent the mathematical models in Excel and use Excel Solver to compute an optimal solution.",21-256 or 21-259,None,Optimization for Business,9.0,Business Administration,"Haddadan, Arash",Sophomore,70-257
37,"This course provides the knowledge and skills necessary for the student to understand financial statements and financial records and to make use of the information for management and investment decisions. Topics include: an overview of financial statements and business decisions; the balance sheet, the income statement, and the cash flow statement; sales revenue, receivables, and cash; cost of goods sold and inventory; long-lived assets and depreciation, and amortization; current and long-term liabilities; owners equity; investments in other corporations; an introduction to financial statement analysis and international issues dealing with financial statements.",None,None,Introduction to Accounting,9.0,Business Administration,"Wu, Sang",Freshman,70-122
38,"Firms create value by making good investment decisions. Finance is the field of management science tasked with making this happen. It is a set of tools with which firms identify good investments and decide how to pay for them. Paying for them ultimately involves getting money from households. Therefore, finance also describes the investment decisions of households and the resulting allocation of the economys resources across firms and time. This course is the introductory finance course in the undergraduate business program. The main topics covered in the course are Financial Markets, Net Present Value, The Objective of the Firm, Discounted Cash Flow, Portfolio Theory and the Cost of Capital, The Efficient Markets Hypothesis, The Capital Structure of the Firm, and Business Valuation. Time permitting, the course will also provide an introduction to option markets and derivative securities. Upon completing the course a student will be able to consider a large and complex business problem, make some assumptions, structure the firms cash flows in a spreadsheet, calculate the value of different solutions to the problem, and make a decision.",(73-102 or 73-100) and (36-200 or 36-201 or 36-217 or 36-225 or 36-207 or 70-207),None,Finance,9.0,Business Administration,"Yang, Tianyi",Junior,70-391
39,None,None,None,CIT Internship,0.0,CIT Interdisciplinary,Instructor TBA,Freshman,39-120
40,Students doing a business-related internship for academic credit may enroll in this course for three units with a pass/no pass grade. Students must submit an internship agreement form to the instructor for approval prior to the start of the internship. A summary writing assignment must be submitted after the internship in order to receive credit. Business majors may enroll directly; non-business majors may enroll with special permission.,None,None,Internship,3.0,Business Administration,"Hollifield, George Burton",Senior,70-499
41,"The college of engineering at Carnegie Mellon considers experiential learning opportunities important educational options for its undergraduate students. One such option is cooperative education, which provides a student with an extended period of exposure with a company. Therefore projects can be of significant depth in experience. To participate, students must complete a CIT Co-op Approval form (located in Scaife Hall 110) and submit for approval. Students must possess at least junior status and have an overall grade point average of 3.0 or above. All co-ops must be approximately 8 months in uninterrupted length. If the co-op is approved, the CIT Undergraduate Studies Office will add the course to the students schedule, and the student will be assessed tuition for 0-3 units. Upon completion of the co-op experience, students must submit a 1-2 page report of their work experience, and a 1-2 page evaluation from the company supervisor to the CIT Undergraduate Office. If the reports are approved, a P grade will be assigned. International students should also be authorized by the Office ofInternational Education (OIE). More information regarding CPT is available on OIEs website.",None,None,CIT Co-Op,,CIT Interdisciplinary,Instructor TBA,Junior,39-390
42,"Juniors who have an accumulated QPA of at least 3.5 receive an invitation to participate in the program.       This course, open by invitation only, will provide the opportunity for close interaction with a faculty member through independent honors research in a number of disciplinary and interdisciplinary areas, as part of the CIT Honors Research Program. Students will work on their projects during their senior year, earning the equivalent of 18-24 units. Students are required to register for CIT Honor Research Project 39-500. To receive CIT College Honors, a student must complete at least 18 units in 39-500 on the same research topic. Students are also required to participate in the CIT poster competition at the Undergraduate Research Symposium, Meeting of the Minds, a university-wide celebration of undergraduate research.",None,None,CIT Honors Research Project,,CIT Interdisciplinary,"Larsen, Kurt",Graduate,39-500
43,None,None,None,Independent Study Interaction Design Studio,,CIT Interdisciplinary,"Siewiorek, Daniel",Graduate,39-646
44,"PLEASE NOTE THAT THE MINDFUL LIVING COURSE WILL MEET IN THE ACTIVITIES ROOM IN THE COHON UNIVERSITY CENTER. The goal of this course is to increase students internal resources for meeting stress through mindfulness-based meditation training. Each week, students will be trained in formal mindfulness meditation practices and asked to meditate at home with the help of brief guided meditation recordings. Students will also be given weekly informal mindfulness practice suggestions to help them translate the skills of formal meditation practice into daily life. Class meetings will give students the weekly opportunity for reflection, discussion, and questions based on their experience of formal and informal practice assignments.",None,None,Mindful Living,3.0,Carnegie Mellon University-Wide Studies,"Lusk, Angela",Freshman,99-153
45,"This project course is designed for ESTP students who are working on an independent investigation on a project related to energy with the advice and approval of the program advisor and/or affiliated faculty member.  Summary report, presentation or poster on work accomplished must be submitted at completion of semester. Once you have determined a suitable topic area, found an engineering faculty member who has agreed to supervise the project work, send the ESTP project approval form to the ESTP director for enrollment.  Variable units.  Restricted to ESTP students",None,None,EST&P; Project Course,,CIT Interdisciplinary,"Salvador, Paul",Graduate,39-660
46,"An introduction to the nature and fundamentals of marketing and consumer behavior. Topics include an analysis of the economic and psychological factors influencing buyer behavior, marketing research, market segmentation, and the development of marketing programs (new product, price, advertising and distribution decisions).",(76-102) or (76-101) or (76-106 and 76-107) or (76-106 and 76-108) or (76-107 and 76-108),None,Marketing I,9.0,Business Administration,"Kim, Yijin",Junior,70-381
47,"The goal of this course is to provide students with the tools they will need to become better equipped to handle the challenges they have or will face in their academic experiences.  It is designed to promote student awareness of the necessary components of a successful educational experience.   Each week, students will engage in self-awareness activities and group discussion of topics in key areas shown to be predictive of student success.  Through discussion with peers, exposure to academic findings, and self-reflection essays, this course will provide students with the opportunity for self-growth and allow them to become better connected with the campus community.",None,None,Summer ReCharge,3.0,Carnegie Mellon University-Wide Studies,"Cox-Boyd, Chante",Sophomore,99-275
48,"This course consists of student participation in projects focused on undergraduate research or creative inquiry under the direction of a Carnegie Mellon faculty member. Tenure track, teaching track, research track, librarian track, and special faculty may serve as SURA mentors. The subject of the inquiry, the number of units, and the criteria for grading are to be determined by the student and the faculty mentor. This agreement should be formalized in a one-page apprenticeship verification form that includes documented approval from the faculty mentor with a copy to be submitted to the Undergraduate Research Office. The students are responsible for finding a faculty member who is willing and able to supervise them on campus over the summer. In addition to the research experience, course requirements include a series of workshop sessions over the course of the summer that will introduce students to the basics of research design.  Students will also be expected to present and/or attend  the  campus-wide undergraduate research symposium, Meeting of the Minds, in May of the following year. Students may register for a maximum of nine units with work to be completed over an eight-week period during the summer all term.",None,None,Summer Undergraduate Research Apprenticeship,,Carnegie Mellon University-Wide Studies,"Bernazzoli, Richelle",Sophomore,99-270
49,"This course examines the factors which influence individual, group and firm behavior in the context of the workplace. Topics covered include perception, group behavior, decision making, motivation, leadership and organizational design and change.",(76-102) or (76-101) or (76-106 and 76-107) or (76-106 and 76-108) or (76-107 and 76-108) or (76-245) or (76-331) or (76-347) or (76-327) or (76-102),None,Organizational Behavior,9.0,Business Administration,"Diabes, Matthew",Junior,70-311
50,"This course is an introduction to production and operations management that covers both manufacturing and services. It deals with strategic issues (design of flexible supply), planning issues (capacity management), and operational issues (inventory management and information). The linkage between strategy and tactics will be emphasized. The students will learn concepts and tools that will help them to manage from the boardroom to the toolroom.",36-220 or 36-247 or 36-225 or 70-207 or 36-200 or 36-201 or 36-207,None,Operations Management,9.0,Business Administration,"Yang, Bo",Junior,70-371
51,This is a Directed Study course option.  Available by SPECIAL PERMISSION ONLY.,None,None,Directed Study,,Carnegie Mellon University-Wide Studies,"Burkert, Amy",Senior,99-405
52,None,None,None,Summer Internship P/F,1.0,Carnegie Mellon University-Wide Studies,"Mozisek, Korryn",Senior,99-412
53,to be determined,None,None,Summer Internship,,Carnegie Mellon University-Wide Studies,"Mozisek, Korryn",Senior,99-411
54,None,None,None,Reading and Research in Computational Neuroscience,,Center for the Neural Basis of Cognition,"Stupka, Melissa",Graduate,86-700
55,Internship,None,None,Practical Internship for Senior Chemical Engineering,,Chemical Engineering,"Robinson, Anne",Sophomore,06-250
56,None,None,None,PhD Thesis Research,,Center for the Neural Basis of Cognition,"Stupka, Melissa",Graduate,86-800
57,"Research projects under the direction of the Chemical Engineering faculty. The nature of the project, the number of units, and the criteria for grading are to be determined between the student and the faculty supervisor. The agreement should then be summarized in a one-page project description for review by the faculty advisor of the student. A final written report or an oral presentation of the results is required.",None,None,Junior Research Project,,Chemical Engineering,"Robinson, Anne",Junior,06-300
58,"Research projects under the direction of the Chemical Engineering faculty. The nature of the project, the number of units, and the criteria for grading are to be determined between the student and the faculty supervisor. The agreement should then be summarized in a one-page project description for review by the faculty advisor of the student. A final written report or an oral presentation of the results is required.",None,None,Senior Research Project,,Chemical Engineering,"Robinson, Anne",Senior,06-400
59,Independent Study,None,None,Independent Study,,Chemical Engineering,"Robinson, Anne",Senior,06-405
60,Missing Course Description - please contact the teaching department.,None,None,Masters Chemical Engineering Project,,Chemical Engineering,"Robinson, Anne",Graduate,06-600
61,None,None,None,Graduate Reading and Research,,Chemical Engineering,"Robinson, Anne",Graduate,06-803
62,No course description provided.,None,None,Internship in Chemical Engineering,,Chemical Engineering,"Robinson, Anne",Graduate,06-995
63,None,None,None,Chemistry Elective,,Chemistry,"Stump, Karen",Freshman,09-001
64,"This course begins with a very brief survey of some fundamental principles of chemistry and a presentation of chemically interesting applications and sophisticated problems. These will form the basis for introducing the relationships between the structure of molecules and their chemical properties and behavior. The subject matter will include principles of atomic structure, chemical bonding, intermolecular interactions and molecular structures of organic and inorganic compounds including some transition metal complexes. Relevant examples will be drawn from such areas as environmental, materials, and biological chemistry. 3 hrs. lec, 2 hrs. rec.",None,None,TBA,10.0,Chemistry,"Vuocolo, Leonard",Freshman,09-105
65,"This course further develops many of the concepts introduced in Organic Chemistry I, 09-217. Emphasis is placed on the utilization of reaction mechanisms for understanding the outcome of chemical transformations, and the employment of a wide variety of functional groups and reaction types in the synthesis of organic molecules. Also included in the course will be special topics selected from the following; polymers and advanced materials, biomolecules such as carbohydrates, proteins and nucleic acids, and drug design. 3 hrs. lec., 1 hr. rec.",09-217 or 09-219,None,Organic Chemistry II,9.0,Chemistry,"Hunter, Kevin",Sophomore,09-218
66,"Properly qualified students may undertake research projects under the direction of members of the faculty, normally 6 to 12 hrs/week. A written, detailed report describing the project and results is required. Course may be taken only with the consent of a faculty research advisor in chemistry or on occasion in another department provided that the project is chemical in nature and with permission of the Director of Undergraduate Studies. The number of units taken generally corresponds to the actual number of hours the student actually spends in the lab doing research during the week. Maximum number of units taken per semester is 18.",None,None,Undergraduate Research,,Chemistry,"Stump, Karen",Senior,09-445
67,"In-depth investigation of a special topic in Civil and Environmental Engineering under the direction of a faculty member. The topic usually involves open-ended problems whose solution requires some elements of syntheses, analysis, construction, testing and evaluation of an engineering device or system.  Junior or Senior Standing or with instructor permission in Civil and Environmental Engineering.  Faculty approval required.  3 to 12 units",None,None,Independent Study,,Civil & Environmental Engineering,"Dzombak, David",Graduate,12-690
68,The course allows students to earn academic credit for concentrated study in a topic area developed in conjunction with and monitored by a faculty member in the Department of Chemistry.  These topics are distinct from projects that would rise to the level of undergraduate research either because they are in unrelated areas distinct from the faculty members research interests or may constitute the investigation and compilation of existing information from a variety of resources and may not be expected to result in the generation of new information as is a reasonable expected outcome in undergraduate research (likely is not publishable).,None,None,Independent Study Chemistry,,Chemistry,Instructor TBA,Senior,09-435
69,None,None,None,Chemical Research,,Chemistry,"Freeland, Rebecca",Graduate,09-861
70,None,None,None,TBA,,Chemistry,"Freeland, Rebecca",Graduate,09-990
71,Independent investigation and a comprehensive report on a project selected from a major area of study with the advice and approval of the faculty.  Variable units.    Prerequisites: permission of advisor.,None,None,Graduate Project,,Civil & Environmental Engineering,Instructor TBA,Graduate,12-791
72,In-Depth investigfation of selected advanced topics not offered in formal courses.  By special arrangement upon demand and with approval of the instructor.  Prerequisites: Permission of instructor.,None,None,Advanced Independent Study,,Civil & Environmental Engineering,Instructor TBA,Graduate,12-792
73,This reading and research course is designed for CEE research assistants (PhD and MS RAs) to reflect activity related to their research during the Summer semester.,None,None,Reading and Research in Civil and Environmental Engineering,,Civil & Environmental Engineering,Instructor TBA,Graduate,12-993
74,"The Department of Civil and Environmental Engineering considers experiential learning opportunities important educational options for its graduate students. One such option is an internship, normally completed during the summer.   If a student receives an internship, the CEE Graduate Office will add the internship course to the students schedule, and the student will be assessed tuition for 3 units. Upon completion of the internship, students must submit a two page report with supervisor signature detailing the work experience and including how the internship was related to Civil  Environmental Engineering. After the report has been reviewed and approved, a letter grade will be assigned and these 3 units will count towards degree requirements.   International students interested in registering for the internship course should also be authorized by the Office of International Education (OIE).",None,None,Internship in Civil and Environmental Engineering,,Civil & Environmental Engineering,"Dzombak, David",Graduate,12-994
75,"Independent research on significant fundamental problems in a major area of study, with the advice and approval of the faculty. Required of candidates for the degree of Doctor of Philosophy in Civil and Environmental Engineering.",None,None,Ph.D. Thesis,,Civil & Environmental Engineering,Instructor TBA,Graduate,12-799
76,Missing Course Description - please contact the teaching department.,None,None,Study Abroad,0.0,Chemistry,Instructor TBA,Freshman,09-050
77,"This course presents an overview of structure and bonding as it pertains to organic molecules. Selected topics include: introduction to functional group chemistry, stereochemistry, conformational analysis, reaction mechanisms and use of retrosynthetic analysis in the development of multistep syntheses. Methods for structure determination of organic compounds by modern spectroscopic techniques are introduced. 3 hrs. lec., 1 hr. rec.",09-105 or 09-107,None,Organic Chemistry I,9.0,Chemistry,"Silva, Gloria",Sophomore,09-217
78,None,None,None,Doctoral Dissertation,5.0,Chemistry,"Freeland, Rebecca",Graduate,09-871
79,This Section R Course consists on an internship undertaken in absentia from Carnegie Mellon University. Units earned for this course are not eligible for graduate requirements. Enrollment is limited to graduate students in Civil and Environmental Engineering.,None,None,Internship in Civil and Environmental Engineering,,Civil & Environmental Engineering,Instructor TBA,Graduate,12-995
80,Self-defined study in Photography under the guidance of an internationally recognized photographer.,None,None,Photo Independent Study,,Design,"Brodsky, Charlee",Junior,51-397
81,"This course provides a strong foundation in user-centered design and the engineering of web accessibility. The student will gain expertise in methodologies and toolkits for designing, prototyping, and evaluating a web site ensuring that the content is equally accessible to people with disabilities. Upon successful completion of this course, the student will be able to discuss standards and metrics for use in web development projects and be proficient in different stages of the project life cycle including data gathering methods, analysis techniques, requirements specifications, application of universal design principles, prototyping, and testing for usability and WCAG (Web Content Accessibility Guidelines) compliance. A term-long individual project will involve analysis of an organizations website for compliance with WCAG 2.1 guidelines, design and development of an improved prototype, and usability studies of the prototype",67-240 or 67-272,None,A Web For Everyone,9.0,Dietrich College Information Systems,"Liginlal, Divakaran",Junior,67-315
