,desc,prereqs,coreqs,name,units,department,profs,School Level,Course
18,"In the Fall 2017 and Spring 2018 there will be some changes to the shop electives offered.   First the Spring Furniture Design and Construction course  48564 will no longer be offered because that content is incorporated within the Furniture Studio in the fall.  Next, the two shop mini courses previously offered in the fall will each be expanded to become full electives, one in the fall and one in the spring. The prerequisite for both of these classes is documentable experience with the band saw, table saw (ripping and crosscut), drill press and the belt and disk sander.   The Hand and Machine Joinery, New Directions, is scheduled Tuesday and Thursday mornings 10:30 am to 11:50 in the spring 2018, and will be a 9 unit elective running the entire semester.  The elective will focus on building a free standing (or hung) cabinet with doors.  If enrolled students have taken the Exploring Pattern course in the fall the doors made in that class will be mounted on the cabinet.  If students have not taken that course then a pair of simple doors will be made instead.  The primary goal of this course will be to learn the steps of making a simple cabinet using hand and machine joinery.  Quality of craft will be of great importance.   Uniqueness of design will not be emphasized, however individuation of the cabinet will still be possible throughout the construction, starting with choices between a wall mounted or free standing (with legs) cabinet, the selection of hardwoods, the specific size of parts, and the selection of particular detail options.  The construction process will be carefully staged with demonstrations continuing throughout the semester.  The cabinet will be perpendicular and rectangular.  Students will use standard mortise and tenons of various sizes, bridal joints, floating tenons, tongue and groove, spline and dovetail joints.",None,None,"Hand and Machine Joinery, New Directions",9.0,Architecture,"Smith, Scott",Senior,48-473
19,tba,48-240,None,From Postal Networks to Community Places,9.0,Architecture,"Gruber, Stefan",Senior,48-462
20,TBD,None,None,Beyond Patronage,9.0,Architecture,"Folan, John",Senior,48-494
21,"The primary goal of this mini is to help students formulate a robust proposal for the 5th year Thesis, but it could be used to create a proposal for any grant, scholarship or academic research project.  A series of weekly workshops, readings, discussions, and guest lectures will help students move from wide-open initial ideas about issues they are curious about and seek to explore, to the development of a rigorous research process that builds on existing knowledge and attempts to develop new ideas and advances the discipline.  The class will explore the difference between design and research in architecture, how different research methods and modes of representation can be leveraged, and how concepts of disciplinarity and project can focus a topic.   Students will begin to identify precedents, key readings and a research bibliography, an overview of the general topic they will research in depth, a detailed plan for a years worth of independent thesis work, and a well-defined end-product, likely a design proposal.  An important task will be to identify advisors who can support, guide, and critique your work, who can act as intellectual collaborators as much as evaluators.  This course (or an equivalent approved by the Thesis coordinator) is a pre-requisite for doing a year-long Thesis or semester-long Independent Project in 5th year studio.",None,None,Thesis Prep,3.0,Architecture,"Gutschow, Kai",Senior,48-497
22,Course description coming soon.,48-410 or 48-400,None,Advanced Synthesis Options Studio IV,18.0,Architecture,Instructor TBA,Graduate,48-510
23,"Human dexterous skill embodies a wealth of physical understanding which complements computer-based design and machine fabrication. This project-oriented course explores the duality between hand and machine through the practical development of innovative design and fabrication systems. These systems fluidly combine the expressivity and intuition of physical tools with the scalability and precision of the digital realm. Students will develop novel hybrid design and production workflows combining analog and digital processes to support the design and fabrication of their chosen projects. Specific skills covered include 3D modeling (CAD), 3D scanning, algorithmic geometric modeling, digital and robotic fabrication (additive and subtractive manufacturing), motion capture and computer based sensing, and human-robot interaction design. Areas of interest include architecture, art, and product design.",None,None,Human-Machine Virtuosity,12.0,Architecture,"Bard, Joshua",Graduate,48-530
24,Seminar for students graduating from the Bachelor of Architecture and Bachelor of Arts in Architecture programs.,None,None,5th-Year/Senior Seminar,3.0,Architecture,"Oman, Erica",Graduate,48-527
25,"Embedded, connected and mobile computing combine to create powerful platforms for sensing human behavior and personalizing experiences in situated spaces. Creating intelligent, meaningful, and opportune feedback to provide serendipitous support for the people and activities within these spaces still remains an important problem. Students will seek creative solutions to this challenge in this hands-on introduction to real-time interactive environments. The course will introduce foundational theories, methods and techniques that range across the aesthetic, the human-centered and the technical. Students will apply this knowledge by working in teams to collaborative prototype an responsive environment which adapts in real-time to activities within it. In these teams, students will work across disciplines to integrate technical and aesthetic frameworks for sensing, analysis and feedback of human activity in intelligent and augmented spaces.",None,None,IDeATe: Responsive Mobile Environments,9.0,Architecture,"Byrne, Daragh",Graduate,48-528
26,"Thesis is a year-long, independently defined research and design project that takes the place of upper level option studios.  Thesis is an opportunity to develop skills, thoughts, and habits essential for future success, including mental discipline; independence of mind and judgment; working with advisors;  the capacity to focus and pursue a subject in depth and over an extended time;  the ability to design and execute a complex project; the skills of analysis, synthesis, and clear writing; and the self-confidence that grows from mastering a difficult challenge.  Thesis topics and research agendas are generated by the student, but must be determined in collaboration with an advising team, and approved by a Thesis Coordinator.  The School seeks to encourage an expansive range of rigorous and provocative inquiry as a culminating experience for the B.Arch education, including work that speculates, invents, or improves on existing ideas, practices, or systems through research and design; work that challenges the boundaries of the discipline and the profession, and moves beyond mere practice or solution-based work; worj that engages with open-ended and generalizable ideas, as much as with specific situations; work that projects or imagines a better future and an improved world;  work that leads to the new knowledge, ideas, understanding, or paradigms.  Acceptance into Thesis is dependent on passing the 48-497 ?Thesis Prep? course or its pre-approved equivalent, and submitting a rigorous thesis proposal to the Thesis Coordinator in late August, before the begin of classes.",None,None,Architecture Design Studio: Thesis II/ Independent Project,18.0,Architecture,"Arscott, Mary-Lou",Graduate,48-519
27,"Using project-driven learning as its method, Making Intelligence will provide an immersive (re)introduction to the fundamentals of design fabrication by providing an applied overview of various methods of synthesizing ?traditional? and digital modes of making. Intended primarily as a portal course for graduate students that plan to use the School of Architecture?s digital fabrication lab, this course will give students the opportunity to learn how digital equipment works by discovering machine limitations and possibilities through design fabrication while also expanding on their understanding of the design development process. Students will apply their new knowledge by using the 3-axis router, 3D printing, laser cutters, and the vacuum former for the development of two highly-refined projects.",None,None,Digital Fabrication,9.0,Architecture,"Pertierra, Jose",Graduate,48-545
28,"How architects have made aesthetic arguments through a variety of different mediums is of crucial importance for the discipline of architecture, both past and future. Through subverting not only the image but the conventions of contemporary architectural mediation. The goal is to challenge these conventions to explore aesthetic and communicative potentials. Using found images, objects, digitally manipulated photographs, video, animation, furniture, food, websites, publication material street spaces, architecture - the list goes on, the mediums of our reality, appropriation and remixing questions the medium itself and our reality.  It is through interaction, experience, and discourse we create our identities. As designers and makers, it is in the process of making proposals and making reactions where collaboration and dialogue coupled with making as thinking, test and create new futures. The overlaps and frictions that are created through multiple mediations as the most provocative zone for architectural work. These multiple mediums translate techniques, concepts and aesthetics between themselves, constructing architectural arguments. We will consider the aesthetic qualities and disposition of objects, information, drawings, photographs, moving image. We will utilize a range of social platforms of YouTube, Wikipedia, Instagram, Facebook, News media, Documentaries, Scientific Journals, Historical Documents, Weather Maps We will confront the aesthetics of reality. Students will take their current design studio work and employ it through a series of mediations. The work of this course includes both visual and textual analysis as well as written and graphic production. Participants in the seminar develop an archive, original visualizations that investigate multiple mediums and platforms, and culminate in a final project in an exhibition.",48-305,None,Aesthetics and Multiple Mediums,9.0,Architecture,"Bizon, Heather",Graduate,48-538
29,"Introduction to Architectural Robotics is an entry-level course that exposes students to various aspects of industrial robots and automated fabrication including hands-on programming, workflow simulation, sensors, fixtures, and the tactics needed for designing flexible automation. This course will empower the student with the fundamental software and hardware knowledge necessary to do advanced fabrication in subsequent courses. Structured, competency-building exercises within the lab environment will be the method used to develop tacit knowledge of the equipment.",None,None,Introduction to Architectural Robotics,6.0,Architecture,"Pertierra, Jose",Graduate,48-555
30,"Reality computing encompasses a constellation of technologies focused around capturing reality (laser scanning, photogrammetry), working with spatial data (CAD, physical modeling, simulation), and using data to understand, interact with, and influence the physical world (augmented / virtual reality, projector systems, 3d printing, robotics).  This iteration of the reality computing course will focus on design realization: the translation from digital design to fully realized tangible artifact. Collaborating with the Urban Design Build Studio (UDBS), students will investigate how reality computing technologies can be used to accelerate and advance the process of design for urban design and housing that addresses social issues related to the deconcentration of poverty. Reality Computing, VR and AR will be utilized to make purpose driven design processes more transparent, and enhance community engagement with Pittsburgh residents. Topics of special focus within the course are public interest design (John Folan) and augmented and virtual reality platforms (Tom Corbett).",None,None,Reality Computing II,12.0,Architecture,"Folan, John",Graduate,48-559
31,"Through hands-on exploration in the light lab, lecture and discussion, students will develop a design process for lighting people and architecture. Topics will include: Role of the architectural lighting designer in the collaboration process; Establishing design goals and a point of view; Communicating design ideas; Lighting interiors (retail, restaurants, offices, museums, hotels); Lighting exteriors (landscape, buildings, bridges); Technical tools (luminaires, lamps, control and dimming) A large part of class time will be devoted to hands-on experimentation of light. Students will also spend time in the light lab outside of class preparing realized lighting designs. The final design project will include full-scale lighting mock-ups.",48-105,None,Architecture Lighting Design,9.0,Architecture,"Limauro, Cynthia",Graduate,48-587
32,"A Geographic Information System (GIS) integrates displays, edits, analyzes, and shares spatial data for informing decision making. Industries benefiting from GIS include architecture, business, city planning, defense and intelligence, education, government, health and human services, natural resources, public safety, transportation, utilities and communications, and urban planning/design. GIS topics include map design and outputs, geodatabases, downloading and importing spatial and attribute data, digitizing, geocoding, and advanced spatial, 3D, and network analysis. Other topics such as raster-vector integration and web-based GIS will also be covered. Facilities management is the practice of coordinating the physical workplace with the people and work of the organization. Computer Aided Facilities Management (CAFM) integrates software tools to streamline operations, boost productivity and develop strategic planning goals for an organization. CAFM topics include space management, asset management, building operations, emergency preparedness, environmental health and safety, telecommunications, and real property and lease management. This course prepares students to understand, maintain, and manipulate spatial and organizational data using world leading software applications. By the end of the course, students will have sufficient background to identify spatial characteristics of diverse application areas enabling them to integrate spatial thinking and analysis into their academic research and careers.",48-205,None,GIS/CAFM,9.0,Architecture,"Kurland, Kristen",Graduate,48-569
33,course description coming soon,None,None,ASO Studio General (Spring),18.0,Architecture,"Bard, Joshua",Graduate,48-601
34,No course description provided.,None,None,Undergraduate Independent Study,,Architecture,"Pertierra, Jose",Graduate,48-599
35,TBD,None,None,Structures/Statics,9.0,Architecture,"Oppenheim, Irving",Graduate,48-637
36,TBD,None,None,M.Arch Studio: Integration II,18.0,Architecture,"Lee, Stephen",Graduate,48-640
37,TBD,None,None,M.Arch Pre-Thesis,3.0,Architecture,"Gutschow, Kai",Graduate,48-644
38,TBD,None,None,Real Estate Design and Development,6.0,Architecture,"Vavasis, Valentina",Graduate,48-658
39,"How architects have made aesthetic arguments through a variety of different mediums is of crucial importance for the discipline of architecture, both past and future. Through subverting not only the image but the conventions of contemporary architectural mediation. The goal is to challenge these conventions to explore aesthetic and communicative potentials. Using found images, objects, digitally manipulated photographs, video, animation, furniture, food, websites, publication material street spaces, architecture - the list goes on, the mediums of our reality, appropriation and remixing questions the medium itself and our reality.  It is through interaction, experience, and discourse we create our identities. As designers and makers, it is in the process of making proposals and making reactions where collaboration and dialogue coupled with making as thinking, test and create new futures. The overlaps and frictions that are created through multiple mediations as the most provocative zone for architectural work. These multiple mediums translate techniques, concepts and aesthetics between themselves, constructing architectural arguments. We will consider the aesthetic qualities and disposition of objects, information, drawings, photographs, moving image. We will utilize a range of social platforms of YouTube, Wikipedia, Instagram, Facebook, News media, Documentaries, Scientific Journals, Historical Documents, Weather Maps We will confront the aesthetics of reality. Students will take their current design studio work and employ it through a series of mediations. The work of this course includes both visual and textual analysis as well as written and graphic production. Participants in the seminar develop an archive, original visualizations that investigate multiple mediums and platforms, and culminate in a final project in an exhibition.",48-707,None,Aesthetics and Multiple Mediums,9.0,Architecture,"Bizon, Heather",Graduate,48-696
40,"This course cuts a broad swath through time, geography and cultures, surveying critical episodes in the built environment of Europe, the Middle East, Asia, and the Americas from antiquity through the 19th century. Reflecting the inseparable relation between building and human needs, this course is not only a history of architecture, but also a history through architecture.  It examines architectural and urban design as a form of cultural expression unique to its time and place. The design, use, meaning and legacy of a building is conditioned not only by the architects will or the patrons desire, but also by a web of technological, religious, social, cultural, economic, and political factors of the time. This foundation course is the first in the architectural history sequence, and introduces students to the subject and skills of world architectural history. It is a prerequisite for all subsequent architectural history courses.  Student work will include several exams and a final.",None,None,Historical Survey of World Architecture and Urbanism I,9.0,Architecture,"Shaw, Diane",Sophomore,48-240
41,None,None,None,Practicum,,Architecture,Instructor TBA,Graduate,48-700
42,"An examination of moral concepts, reasoning, and methodologies that influence the built and natural environments through action/applied ethics. The course utilizes principles of business practice as a foundational lens through which to understand central and contingent dimensions of contemporary professional practice in, and related to, architecture. Lecture content and assignments emphasize establishing a critical awareness and broad understanding of the mediating factors that inform the intelligent resolution of architecture and construction through multiple forms of advocacy. Theory, case studies, analytical exercises, representational investigation, and production are utilized as a means of developing knowledge in the contractual, legal, fiscal and representational contexts requisite for the fulfillment of the architects social contract.",None,None,Ethics and Practice (GRAD),12.0,Architecture,"Folan, John",Graduate,48-649
43,TBA,None,None,Advanced Synthesis Options Studio II: M.Arch,18.0,Architecture,"Bard, Joshua",Graduate,48-660
44,None,None,None,Master's Project,,Architecture,"Lam, Khee Poh",Graduate,48-703
45,"The Urban Systems Studio builds on the knowledge and skills gained from the first MUD design studio by increasing the complexity of inquiry to that of an urban district or the city as a whole. The studio introduces design methods and processes for working with larger and holistic urban systems and with inter-disciplinary agencies and organizations as basic design components. and how they are integrated to create place as well as vision. From this perspective, studio projects concentrate on sites within the Pittsburgh area with a focus on integrating multiple systems, which are often in conflict, and the variety of scales inherent of cities: from intimate place to the context of a large portion of the city and its region at large.",None,None,Urban Design Studio II,18.0,Architecture,"Quick, Stephen",Graduate,48-706
46,No course description provided.,48-707,None,Master of Urban Design Studio IV,18.0,Architecture,"Kline, Jonathan",Graduate,48-708
47,"This course is both an introduction to important models and methods of academic research particularly as they are related to building design issues and a forum for intellectual curiosity. During the initial ten weeks of the semester, the course presents an overview of the field and covers several models of research as they relate to the building design. These will include models of natural sciences, social sciences, sciences of the artificial, engineering and aesthetics in building design. During the final five weeks of the semester faculty both CFA and CIT will be invited to make presentations about their areas of research and the methods they use. These presentations correspond in many respect to those covered in lectures.",None,None,Paradigms of Research in Architecture,,Architecture,"Lee, Joshua",Graduate,48-711
48,"The seminar explores key issues of 21st Century global urbanization including regional planning, smart growth, smart transportation, smart cities, new cities, post-industrial cities, resilient cities, urban systems, and big data, and will include: lectures; visiting speakers; class discussion; reading assignments; one paper; one presentation to the class; and weekly blogs. This is a 3-unit course that requires attendance at one 1.5 hour class per week and an average of 1.5 hours of work outside of class per week. The core of the seminar is the time spent together in the seminar classroom. Enrollment is restricted to MUD students.",None,None,MUD Graduate Seminar,3.0,Architecture,"Carter, Donald",Graduate,48-712
49,"The course will present the key principles of urban ecology, with a focus on those that are especially relevant to urban design. It will address the causes and consequences of biological patterns and processes in urban environments and illustrate how ecological principles can be used in planning and design projects. The course will introduce ways to examine the implications of urban design decisions on  the  health and sustainability of urban habitats. Topics in the course include the  concept of urban ecosystems, ecosystem functions in cities, climate change, natural  processes and regenerative cycles.",None,None,MUD Urban Ecology,9.0,Architecture,"Rehman, Nida",Graduate,48-713
50,"The focus of this seminar is the connection between design decisions and urban development, and how a better understanding of this relationship will contribute to knowledge, policy and practice of a robust and forward-looking contemporary urbanism.   The seminar draws on the instructors research, teaching, and practice including current projects, focusing on urban design and planning current projects relevant to international, North American, and Pittsburgh perspectives.   The course is divided into three units: The Campus in Context; Waterfronts in Transition, and Districts and Design--how urban districts achieve and sustain a meaningful density of interaction and opportunity, and the role of architecture, design, and arts in that achievement. These built environments is that they test the capacity of architecture and development to propose meaningfully complex and resilient program and form, from city centers to polycentric regions.  The seminar will address how the design and planning of campuses, waterfronts, and specific districts can build up--or tear down--a robust urbanism: to better understand the decisions that can lead to an urbanism that is experientially stimulating, architecturally rich, local and global, and diverse and deep enough for the long term.    Each unit will be four weeks, with Campus and Waterfronts completed before Spring Break, the third, Districts, follows, and the semester ends with the final two weeks focused on a synthesizing research project and presentations.",None,None,"Planning by Design: Campuses, Waterfronts, Districts, and Cities",,Architecture,"Gastil, Ray",Graduate,48-720
51,No course description provided.,None,None,MSCD Pre-Thesis 1,6.0,Architecture,"Cardoso Llach, Daniel",Graduate,48-715
52,TBD,None,None,Architecture Design Studio: AECM UDBS,18.0,Architecture,"Folan, John",Graduate,48-719
53,"This course introduces the concepts and methods of building diagnostics. It focuses on the empirical evaluation of the built environment (building components and systems, interactions between building, occupants and environmental conditions) in view of multiple performance criteria (thermal, visual and acoustic performance). Field measurement and assessment techniques will be introduced. The empirical methods of building analysis are commonly used to: describe/specify building components; study the real-time behavior of buildings; detect the causes of building failures; and gather data for model validation. The course will address these issues, both theoretically and practically, through the application of: field measurement techniques; physical modeling methods; and computer-aided building modeling. Computer-aided data processing techniques will be applied for the analysis and interpretation of the results of model and field studies. The role of building performance simulation in the area of building diagnostics will be investigated",None,None,Building Controls and Diagnostics,12.0,Architecture,"Karaguzel, Omer",Graduate,48-721
54,"This is the preparatory course for the synthesis project course in the  Master of Science in Sustainable Design (MSSD) program. Students will build  upon the Research Models and Methods class to develop an individual project  proposal in an area of their interest related to sustainable design. The  students will attend bi-weekly meetings with the instructor and will submit  a formal research project proposal at the conclusion of the semester  including an abstract, a research plan, a schedule, an annotated  bibliography and proposed deliverables.  Prerequisites: Fall Coursework as per curriculum.",None,None,Sustainable Design Synthesis Prep,12.0,Architecture,"Cupkova, Dana",Graduate,48-731
